fecha factura;id_ext; importe total en moneda local;importe total en euro;importe sin iva en euro;tarifa de cambio;país de origen;moneda local
30/11/2025;ES-AEU-2025-1013899;574,2;574,2;474,55;;ES;EUR
30/11/2025;ES-AEU-2025-1013896;761,9;761,9;629,67;;ES;EUR
30/11/2025;ES-AEU-2025-1013204;478,09;478,09;395,12;;ES;EUR
30/11/2025;ES-AEU-2025-1013197;1332,91;1332,91;1101,58;;ES;EUR
31/10/2025;ES-AEU-2025-1010240;5,91;5,21;4,3;1,1343;ES;GBP
31/10/2025;ES-AEU-2025-1010239;7,34;6,47;6,47;1,1343;ES;GBP
31/10/2025;ES-AEU-2025-1006519;7,17;30,52;25,24;0,23496;ES;PLN
31/10/2025;ES-AEU-2025-1006518;39,12;39,12;32,33;0,23496;ES;EUR
31/10/2025;ES-AEU-2025-991775;11,12;11,12;9,19;;ES;EUR
31/10/2025;ES-AEU-2025-991774;18,94;18,94;15,65;;ES;EUR
31/10/2025;ES-AEU-2025-964052;22,93;22,93;22,93;;ES;EUR
31/10/2025;ES-AEU-2025-959031;14,62;14,62;14,62;;ES;EUR
31/10/2025;ES-AEU-2025-948620;3,45;3,45;3,45;;ES;EUR
31/10/2025;ES-AEU-2025-935506;26,29;26,29;21,73;;ES;EUR
31/10/2025;ES-AEU-2025-935505;55,67;55,67;46,01;;ES;EUR
31/10/2025;ES-AEU-2025-932354;12,27;12,27;12,27;;ES;EUR
31/10/2025;ES-AEU-2025-922016;3,88;3,88;3,21;;LU;EUR
31/10/2025;ES-AEU-2025-922013;18,44;18,44;15,24;;LU;EUR
31/10/2025;ES-AEU-2025-913973;520,21;520,21;429,93;;ES;EUR
31/10/2025;ES-AEU-2025-913963;1570,72;1570,72;1298,12;;ES;EUR
31/10/2025;ES-AEU-2025-911642;706,53;706,53;583,91;;ES;EUR
31/10/2025;ES-CN-AEU-2025-244059;18,91;18,91;15,63;;ES;EUR
31/10/2025;ES-CN-AEU-2025-258243;4,99;4,99;4,12;;ES;EUR
31/10/2025;ES-CN-AEU-2025-247558;13,07;13,07;10,8;;ES;EUR
